Marque/Modèle,Année,Kilométrage,Etat,Prix
Audi A3 Berline,2019,84 810 km,Occasion,24 499 €
Dacia Dokker,2020,69 332 km,Occasion,16 199 €
Mini Mini countryman,2023,28 845 km,Occasion,33 999 €
Skoda Scala,2023,26 243 km,Occasion,24 999 €
Alfa Romeo Tonale,2023,16 706 km,Occasion,31 499 €
Mazda CX-30,2024,9 780 km,Occasion,29 499 €
Fiat TIPO Station Wagon,2019,83 680 km,Occasion,10 999 €
Volkswagen Golf Sportsvan,2019,60 160 km,Occasion,18 699 €
Audi A3 Berline,2023,3 585 km,Occasion,33 799 €
Seat Tarraco,2021,32 835 km,Occasion,31 799 €
Opel Adam,2015,76 285 km,Occasion,10 499 €
Mercedes GLC,2022,59 723 km,Occasion,42 099 €
Volkswagen Arteon Shooting Brake,2023,18 736 km,Occasion,36 499 €
BMW Série 2 Gran Tourer,2022,94 647 km,Occasion,22 999 €
BMW X4,2017,78 414 km,Occasion,27 999 €
Volkswagen Golf 8 SW,2021,85 890 km,Occasion,19 999 €
Renault Scenic 3,2016,72 002 km,Occasion,11 999 €
Citroën C-ZERO,2017,26 685 km,Occasion,7 299 €
Skoda ENYAQ,2023,31 224 km,Occasion,36 999 €
Hyundai Ioniq 5,2022,19 747 km,Occasion,28 699 €
Volkswagen T-Roc Cabriolet,2023,23 750 km,Occasion,33 899 €
Ford Mondeo,2018,63 584 km,Occasion,16 999 €
BMW Série 5,2019,90 949 km,Occasion,24 499 €
Mini Mini Cabriolet,2020,81 105 km,Occasion,17 999 €
Skoda Superb Combi,2022,28 963 km,Occasion,29 999 €
Opel Karl,2019,94 985 km,Occasion,8 599 €
Lexus NX 300h,2020,34 480 km,Occasion,29 999 €
Volkswagen Golf 7 SW,2020,69 412 km,Occasion,17 599 €
Audi A6 Avant,2014,138 645 km,Occasion,16 699 €
Peugeot 308 AFFAIRE,2021,79 565 km,Occasion,12 999 €
Renault Grand Scenic 3,2017,143 221 km,Occasion,11 999 €
Lexus CT,2019,24 807 km,Occasion,20 399 €
BMW Série 3 Touring,2022,4 046 km,Occasion,35 499 €
Renault Twizy,2021,7 180 km,Occasion,7 499 €
Mazda CX-3,2017,99 915 km,Occasion,12 999 €
Toyota bZ4X,2024,8 418 km,Occasion,31 999 €
Renault Clio,2019,97 790 km,Occasion,10 499 €
Peugeot Partner Fourgon,2021,46 525 km,Occasion,17 999 €
Seat Leon ST,2021,63 592 km,Occasion,21 999 €
Smart Fortwo EQ,2020,22 175 km,Occasion,10 999 €
Citroën Berlingo Fourgon,2020,69 371 km,Occasion,14 799 €
Mercedes Classe C Break,2019,84 017 km,Occasion,22 999 €
Mercedes Classe A Berline,2024,15 294 km,Occasion,35 499 €
Kia Cee'd,2017,95 127 km,Occasion,10 799 €
Hyundai Santa Fe,2021,62 982 km,Occasion,37 499 €
Ford B-Max,2017,49 862 km,Occasion,11 699 €
Kia ProCeed,2023,20 290 km,Occasion,25 476 €
Jeep Grand Cherokee,2016,143 201 km,Occasion,24 699 €
Smart FORTWO,2015,58 640 km,Occasion,8 299 €
Volkswagen Sharan,2018,113 681 km,Occasion,21 937 €
Citroën Berlingo Van,2023,18 402 km,Occasion,20 999 €
Audi Q4 E-TRON,2021,46 852 km,Occasion,34 999 €
BMW Série 5 Touring,2021,73 094 km,Occasion,41 999 €
BMW Série 2 coupé,2019,39 277 km,Occasion,24 999 €
Mercedes Classe E,2017,90 355 km,Occasion,28 499 €
Citroën Jumper Fourgon,2023,10 km,Occasion,29 499 €
Jaguar E-Pace,2019,71 443 km,Occasion,22 999 €
Alfa Romeo Giulia,2017,102 400 km,Occasion,23 999 €
Hyundai Ioniq 6,2023,6 398 km,Occasion,47 999 €
Peugeot 208 ELECTRIQUE,2023,11 573 km,Occasion,25 499 €
Mercedes Classe E Break,2019,150 753 km,Occasion,25 599 €
Toyota Verso,2017,110 730 km,Occasion,13 499 €
Audi A4 Allroad,2019,125 929 km,Occasion,23 078 €
Audi A6,2020,141 541 km,Occasion,27 999 €
Volkswagen Arteon,2018,129 205 km,Occasion,23 999 €
Mercedes CLASSE A BERLINE,2020,32 955 km,Occasion,31 799 €
Opel Insignia,2021,38 414 km,Occasion,19 499 €
Volkswagen Coccinelle,2015,75 782 km,Occasion,17 399 €
