Marque,Modèle,Année,Kilométrage,Etat,Prix
Suzuki,VITARA,2019,102886.0,Occasion,12999.0
Audi,A4 Avant,2017,103525.0,Occasion,16999.0
Kia,Ceed,2023,17902.0,Occasion,19799.0
Nissan,Leaf,2019,13140.0,Occasion,16799.0
MG,EHS,2023,42460.0,Occasion,22999.0
Fiat,Panda,2020,17593.0,Occasion,10899.0
Mercedes,CLA Shooting Brake,2021,42205.0,Occasion,28499.0
Volkswagen,Up,2022,29765.0,Occasion,13999.0
Volkswagen,Passat SW,2020,93286.0,Occasion,22999.0
Mini,Countryman,2018,43040.0,Occasion,26499.0
Skoda,Scala,2023,26199.0,Occasion,22399.0
Renault,Koleos,2020,107290.0,Occasion,22499.0
Volvo,XC60,2017,113137.0,Occasion,25999.0
BMW,Série 3,2021,51327.0,Occasion,32999.0
Tesla,MODEL 3,2021,111200.0,Occasion,23999.0
Toyota,Yaris,2022,8480.0,Occasion,19499.0
Opel,Crossland,2021,42200.0,Occasion,15499.0
Toyota,Aygo X,2024,235.0,Occasion,18499.0
Ford,Fiesta,2018,76977.0,Occasion,12999.0
Peugeot,108,2018,91410.0,Occasion,8999.0
Fiat,Tipo,2018,91469.0,Occasion,11199.0
BMW,X1,2019,64995.0,Occasion,21999.0
Volvo,XC40,2019,118165.0,Occasion,21999.0
Hyundai,i30,2022,43455.0,Occasion,20499.0
Citroën,C3 Aircross,2021,61343.0,Occasion,17499.0
Hyundai,Tucson,2021,60898.0,Occasion,26699.0
Opel,Corsa,2022,49260.0,Occasion,13299.0
Ford,Focus,2020,99057.0,Occasion,13999.0
Jeep,Compass,2022,65380.0,Occasion,24499.0
Peugeot,208,2020,16542.0,Occasion,14799.0
Fiat,500,2022,23175.0,Occasion,13199.0
Volkswagen,Tiguan,2019,124193.0,Occasion,20999.0
Peugeot,308 SW,2024,5396.0,Occasion,28399.0
Volkswagen,T-Roc,2024,18980.0,Occasion,33999.0
Audi,A3 Sportback,2024,15465.0,Occasion,33299.0
Peugeot,408,2024,5498.0,Occasion,27999.0
DS,DS4,2023,17570.0,Occasion,35999.0
Nissan,Juke,2024,18530.0,Occasion,18499.0
Peugeot,508,2023,961.0,Occasion,27499.0
Skoda,KAMIQ,2020,72607.0,Occasion,19999.0
Citroën,C3,2023,15070.0,Occasion,12999.0
Volkswagen,Golf 8,2023,11.0,Occasion,32299.0
Ford,Puma,2021,97199.0,Occasion,14299.0
Kia,Sportage,2024,12913.0,Occasion,31499.0
Seat,Arona,2021,27098.0,Occasion,18499.0
Volkswagen,T-CROSS,2023,6979.0,Occasion,23199.0
Citroën,C5 X,2023,2660.0,Occasion,23999.0
Dacia,JOGGER,2023,27665.0,Occasion,20499.0
Citroën,C4 X,2023,17502.0,Occasion,19999.0
Cupra,Leon Sportstourer,2022,18390.0,Occasion,30599.0
Peugeot,308,2016,65855.0,Occasion,11499.0
Cupra,Formentor,2021,21946.0,Occasion,31399.0
Dacia,Sandero,2017,92472.0,Occasion,9999.0
Hyundai,Kona,2020,79316.0,Occasion,17999.0
Peugeot,2008,2023,10909.0,Occasion,24999.0
Renault,Clio 5,2020,41732.0,Occasion,16699.0
Fiat,500X,2016,89230.0,Occasion,13499.0
Volkswagen,Taigo,2024,15410.0,Occasion,22899.0
Renault,Captur,2023,26783.0,Occasion,23499.0
Toyota,C-HR,2017,122790.0,Occasion,17399.0
Citroën,C5 Aircross,2019,85643.0,Occasion,13499.0
Peugeot,5008,2024,2475.0,Occasion,33299.0
Renault,Arkana,2022,25890.0,Occasion,20999.0
Nissan,Qashqai,2022,33525.0,Occasion,23799.0
Citroën,C4,2021,40660.0,Occasion,19799.0
Dacia,Duster,2022,16676.0,Occasion,18899.0
Opel,Mokka,2016,135844.0,Occasion,10699.0
Mercedes,Classe A,2024,19354.0,Occasion,37499.0
Renault,Twingo 3,2019,54052.0,Occasion,9599.0
Renault,Clio 4,2019,46958.0,Occasion,11899.0
Renault,Mégane 4,2017,104770.0,Occasion,12799.0
Volkswagen,Polo,2019,108446.0,Occasion,15499.0
Renault,Zoé,2015,43984.0,Occasion,6999.0
Renault,Kadjar,2021,57553.0,Occasion,17999.0
Citroën,C4 Cactus,2017,76446.0,Occasion,12499.0
Toyota,RAV 4,2021,53880.0,Occasion,29999.0
Toyota,Corolla,2023,32476.0,Occasion,22699.0
DS,DS7 Crossback,2019,78322.0,Occasion,20999.0
BMW,Série 1,2023,29086.0,Occasion,27699.0
Mini,Mini,2022,24841.0,Occasion,21999.0
Dacia,SPRING,2021,6506.0,Occasion,11599.0
DS,DS3 CROSSBACK,2022,48430.0,Occasion,18999.0
Renault,Grand Scénic 4,2019,103203.0,Occasion,17699.0
Opel,Crossland X,2018,51760.0,Occasion,12799.0
Audi,Q2,2024,8830.0,Occasion,31899.0
Volkswagen,Golf 7,2017,90379.0,Occasion,14999.0
Ford,Kuga,2022,58560.0,Occasion,24999.0
Citroën,Berlingo,2020,83191.0,Occasion,17199.0
DS,DS3,2023,13914.0,Occasion,28799.0
Citroën,GRAND C4 SPACETOURER,2020,38975.0,Occasion,17599.0
Renault,Scénic 4,2016,100945.0,Occasion,12999.0
Opel,Grandland X,2019,76682.0,Occasion,14499.0
Jeep,Renegade,2019,73628.0,Occasion,14499.0
Skoda,Karoq,2023,7823.0,Occasion,30499.0
Citroën,C4 SPACETOURER,2018,51005.0,Occasion,14999.0
Opel,Grandland,2023,11853.0,Occasion,29999.0
Kia,Niro,2019,66427.0,Occasion,20499.0
Peugeot,508 SW,2020,119531.0,Occasion,15999.0
Cupra,Leon,2022,22250.0,Occasion,25999.0
BMW,X2,2023,17155.0,Occasion,34999.0
Seat,Ateca,2023,24260.0,Occasion,27599.0
Skoda,Fabia,2023,26220.0,Occasion,21699.0
Citroën,C4 Picasso,2018,99823.0,Occasion,10799.0
Peugeot,RIFTER,2019,85885.0,Occasion,17299.0
Suzuki,VITARA,2018,94149.0,Occasion,15899.0
Audi,A4 Avant,2018,108502.0,Occasion,18999.0
Nissan,Leaf,2018,27267.0,Occasion,14899.0
Kia,Ceed,2018,78780.0,Occasion,15999.0
Fiat,Panda,2016,82259.0,Occasion,9499.0
MG,EHS,2023,43055.0,Occasion,23299.0
Mercedes,CLA Shooting Brake,2022,14702.0,Occasion,36999.0
Volkswagen,Passat SW,2023,26320.0,Occasion,30999.0
Mini,Countryman,2022,22734.0,Occasion,23999.0
Skoda,Scala,2023,26810.0,Occasion,22499.0
Renault,Koleos,2018,123240.0,Occasion,16499.0
BMW,Série 3,2021,39770.0,Occasion,27999.0
Toyota,Yaris,2019,86255.0,Occasion,10499.0
Tesla,MODEL 3,2021,82750.0,Occasion,25499.0
Audi,A1 Sportback,2014,38055.0,Occasion,18999.0
BMW,Série 2 Active Tourer,2015,136319.0,Occasion,14499.0
Renault,Mégane 4 Estate,2020,76435.0,Occasion,13999.0
Peugeot,3008,2020,57030.0,Occasion,17499.0
Citroën,C3 Aircross,2023,28135.0,Occasion,18999.0
Opel,Corsa,2022,9345.0,Occasion,18999.0
Ford,Focus,2018,120213.0,Occasion,12299.0
Jeep,Compass,2022,50663.0,Occasion,22899.0
Fiat,500,2022,17143.0,Occasion,13499.0
Hyundai,Tucson,2021,43012.0,Occasion,28099.0
Volkswagen,Tiguan,2021,56586.0,Occasion,33999.0
Peugeot,308 SW,2024,4845.0,Occasion,24399.0
Volkswagen,T-Roc,2018,42240.0,Occasion,19499.0
Audi,A3 Sportback,2019,74234.0,Occasion,19399.0
Peugeot,408,2024,10667.0,Occasion,25399.0
DS,DS4,2017,92925.0,Occasion,14499.0
Nissan,Juke,2022,62306.0,Occasion,18499.0
Peugeot,508,2018,86292.0,Occasion,17499.0
Skoda,Kamiq,2023,21886.0,Occasion,22999.0
Citroën,C3,2022,31586.0,Occasion,15999.0
Volkswagen,Golf 8,2020,29000.0,Occasion,23999.0
Ford,Puma,2020,56669.0,Occasion,17299.0
Kia,Sportage,2022,41290.0,Occasion,30999.0
Seat,Arona,2020,59916.0,Occasion,16199.0
Citroën,C5 X,2023,5016.0,Occasion,24999.0
Dacia,JOGGER,2022,38117.0,Occasion,18499.0
Citroën,C4 X,2023,24515.0,Occasion,19999.0
Cupra,LEON SPORTSTOURER,2024,739.0,Occasion,31499.0
Cupra,Formentor,2022,20092.0,Occasion,32399.0
Peugeot,208,2018,88272.0,Occasion,9999.0
Peugeot,308,2023,11122.0,Occasion,29499.0
Dacia,Sandero,2021,42055.0,Occasion,14799.0
Fiat,500X,2019,53523.0,Occasion,15499.0
Renault,Clio 5,2019,33170.0,Occasion,12199.0
Toyota,C-HR,2018,102140.0,Occasion,16499.0
Renault,Captur,2020,66979.0,Occasion,17499.0
Peugeot,2008,2023,9212.0,Occasion,19399.0
Citroën,C5 Aircross,2020,37923.0,Occasion,15499.0
Renault,Arkana,2023,14700.0,Occasion,23199.0
Nissan,Qashqai,2016,72827.0,Occasion,14999.0
Peugeot,5008,2018,83536.0,Occasion,16999.0
Citroën,C4,2023,10.0,Occasion,23299.0
Dacia,Duster,2023,31720.0,Occasion,21499.0
Opel,Mokka,2023,9229.0,Occasion,26999.0
Mercedes,Classe A,2023,7695.0,Occasion,35799.0
Renault,Twingo 3,2019,34384.0,Occasion,9799.0
Volkswagen,Polo,2018,108200.0,Occasion,15299.0
Renault,Clio 4,2017,29806.0,Occasion,12999.0
Renault,Mégane 4,2016,87309.0,Occasion,11199.0
Renault,Zoé,2019,24014.0,Occasion,8999.0
Renault,Kadjar,2020,119686.0,Occasion,14699.0
Citroën,C4 Cactus,2018,31237.0,Occasion,13499.0
Toyota,Corolla,2020,62143.0,Occasion,22499.0
DS,DS7 CROSSBACK,2022,56612.0,Occasion,26999.0
Toyota,RAV 4,2023,12801.0,Occasion,42999.0
BMW,Série 1,2017,66168.0,Occasion,15999.0
Mini,Mini,2016,63390.0,Occasion,13299.0
Dacia,SPRING,2023,6695.0,Occasion,14499.0
DS,DS3 Crossback,2022,33315.0,Occasion,23499.0
Opel,Crossland X,2020,83968.0,Occasion,15499.0
Volkswagen,Golf 7,2019,24510.0,Occasion,26999.0
Audi,Q2,2019,81970.0,Occasion,19499.0
Ford,Kuga,2021,44040.0,Occasion,23499.0
Citroën,Grand C4 Spacetourer,2020,72806.0,Occasion,19699.0
DS,DS3,2018,69890.0,Occasion,10999.0
Renault,Scénic 4,2018,60056.0,Occasion,14999.0
Opel,Grandland X,2021,81685.0,Occasion,17499.0
Jeep,Renegade,2021,83405.0,Occasion,21499.0
Skoda,Karoq,2023,29017.0,Occasion,28499.0
Citroën,C4 SPACETOURER,2020,120475.0,Occasion,13999.0
Opel,Grandland,2022,35780.0,Occasion,23099.0
Peugeot,508 SW,2020,83498.0,Occasion,23999.0
Kia,Niro,2023,19747.0,Occasion,29999.0
Seat,Leon,2018,72608.0,Occasion,13999.0
Seat,Ateca,2023,23870.0,Occasion,27599.0
BMW,X2,2021,56913.0,Occasion,27899.0
Skoda,Fabia,2023,22573.0,Occasion,17799.0
Citroën,C4 Picasso,2016,114530.0,Occasion,9999.0
Peugeot,RIFTER,2022,24815.0,Occasion,22999.0
Suzuki,Vitara,2022,7593.0,Occasion,26499.0
Nissan,Leaf,2018,30223.0,Occasion,15599.0
Fiat,Panda,2022,63840.0,Occasion,10599.0
MG,EHS,2023,45630.0,Occasion,22999.0
Volkswagen,Passat SW,2023,26750.0,Occasion,33999.0
Mini,Countryman,2023,42921.0,Occasion,27799.0
Mercedes,CLA Shooting Brake,2023,24725.0,Occasion,40299.0
Skoda,Scala,2023,16290.0,Occasion,21999.0
BMW,Série 3,2022,95769.0,Occasion,28999.0
Toyota,Yaris,2020,50452.0,Occasion,13499.0
Renault,Grand Scénic 4,2018,68467.0,Occasion,16499.0
Citroën,Berlingo,2019,116114.0,Occasion,15999.0
Tesla,MODEL 3,2020,56885.0,Occasion,29999.0
BMW,Série 2 Active Tourer,2018,63805.0,Occasion,19999.0
Kia,Ceed,2018,82407.0,Occasion,16499.0
Citroën,C3 Aircross,2021,53928.0,Occasion,12299.0
Opel,Corsa,2021,19328.0,Occasion,17999.0
Ford,Focus,2017,112730.0,Occasion,11299.0
Jeep,Compass,2017,100558.0,Occasion,18999.0
Peugeot,3008,2023,18605.0,Occasion,22999.0
Fiat,500,2021,43115.0,Occasion,11999.0
Hyundai,Tucson,2021,47619.0,Occasion,30699.0
Peugeot,308 SW,2024,4000.0,Occasion,28999.0
Volkswagen,Polo,2023,23243.0,Occasion,26299.0
Volkswagen,Tiguan,2021,71913.0,Occasion,39199.0
Audi,A3 Sportback,2021,70718.0,Occasion,27399.0
Volkswagen,T-Roc,2024,19660.0,Occasion,33999.0
DS,DS4,2018,85481.0,Occasion,10999.0
Nissan,Juke,2023,17039.0,Occasion,20999.0
Peugeot,508,2018,115125.0,Occasion,16999.0
Skoda,KAMIQ,2023,19745.0,Occasion,22499.0
Citroën,C3,2023,7950.0,Occasion,14499.0
Ford,Puma,2021,103008.0,Occasion,14799.0
Kia,Sportage,2021,99386.0,Occasion,21999.0
Volkswagen,Golf 8,2022,41153.0,Occasion,34499.0
Peugeot,408,2023,5602.0,Occasion,27999.0
Citroën,C5 X,2023,3017.0,Occasion,24999.0
Dacia,JOGGER,2023,19942.0,Occasion,20999.0
Peugeot,208,2022,57142.0,Occasion,15999.0
Peugeot,308,2022,15960.0,Occasion,18999.0
Dacia,Sandero,2019,90260.0,Occasion,11299.0
Cupra,Formentor,2023,14900.0,Occasion,33899.0
Fiat,500X,2018,88330.0,Occasion,12999.0
Toyota,C-HR,2023,12599.0,Occasion,25199.0
Renault,Clio 5,2021,40361.0,Occasion,17199.0
Peugeot,2008,2021,128511.0,Occasion,16799.0
Renault,Captur,2022,35385.0,Occasion,17999.0
Citroën,C5 Aircross,2020,35993.0,Occasion,16299.0
Renault,Arkana,2023,5545.0,Occasion,26499.0
Peugeot,5008,2024,1872.0,Occasion,33499.0
Nissan,Qashqai,2019,51512.0,Occasion,20999.0
Citroën,C4,2023,6386.0,Occasion,22399.0
Dacia,Duster,2020,108641.0,Occasion,15199.0
Opel,Mokka,2023,12335.0,Occasion,19299.0
Mercedes,Classe A,2024,1550.0,Occasion,37999.0
Renault,Twingo 3,2023,7002.0,Occasion,17499.0
Volkswagen,Polo,2023,14810.0,Occasion,20999.0
Renault,Kadjar,2018,32083.0,Occasion,15499.0
Renault,Mégane 4,2017,28310.0,Occasion,13999.0
Renault,Zoé,2021,32483.0,Occasion,14999.0
Citroën,C4 Cactus,2020,31155.0,Occasion,12999.0
Toyota,Corolla,2022,19655.0,Occasion,22499.0
DS,DS7 CROSSBACK,2018,126300.0,Occasion,22499.0
Toyota,RAV 4,2021,51250.0,Occasion,29999.0
BMW,Série 1,2022,19796.0,Occasion,33199.0
Mini,Mini,2023,10962.0,Occasion,25899.0
Dacia,SPRING,2021,12358.0,Occasion,10999.0
DS,DS3 CROSSBACK,2021,37512.0,Occasion,23999.0
Opel,Crossland X,2020,63573.0,Occasion,13999.0
Volkswagen,Golf 7,2019,76595.0,Occasion,17399.0
Audi,Q2,2017,75462.0,Occasion,21499.0
Ford,Kuga,2022,48165.0,Occasion,25499.0
Citroën,GRAND C4 SPACETOURER,2019,103451.0,Occasion,13999.0
DS,DS3,2018,62718.0,Occasion,10999.0
Renault,Scénic 4,2019,118630.0,Occasion,14999.0
Opel,Grandland X,2018,76334.0,Occasion,19999.0
Citroën,C4 SPACETOURER,2018,85045.0,Occasion,11499.0
Peugeot,508 SW,2020,82080.0,Occasion,22999.0
Skoda,Karoq,2023,13088.0,Occasion,27499.0
Opel,Grandland,2023,13733.0,Occasion,25299.0
Cupra,Leon,2021,29102.0,Occasion,24999.0
Seat,Ateca,2023,59430.0,Occasion,25799.0
Skoda,Fabia,2023,34083.0,Occasion,21199.0
Citroën,C4 Picasso,2017,105955.0,Occasion,10799.0
BMW,X2,2020,50049.0,Occasion,27499.0
Peugeot,RIFTER,2020,61015.0,Occasion,19499.0
Suzuki,VITARA,2017,71031.0,Occasion,14499.0
Fiat,Panda,2022,43951.0,Occasion,11299.0
MG,EHS,2023,43875.0,Occasion,23299.0
Volkswagen,Passat SW,2023,26480.0,Occasion,30999.0
Mini,Countryman,2018,72147.0,Occasion,17999.0
Mercedes,CLA Shooting Brake,2023,12440.0,Occasion,42199.0
BMW,Série 3,2020,103203.0,Occasion,26499.0
Renault,Clio 4,2017,41599.0,Occasion,13499.0
Citroën,Berlingo,2020,53350.0,Occasion,19499.0
Tesla,MODEL 3,2021,77014.0,Occasion,26999.0
Kia,Niro,2024,2120.0,Occasion,29999.0
Nissan,Leaf,2018,130716.0,Occasion,11299.0
Citroën,C3 Aircross,2018,43590.0,Occasion,11699.0
Opel,Corsa,2023,15876.0,Occasion,15699.0
Ford,Focus,2019,66554.0,Occasion,13999.0
Jeep,Compass,2022,62055.0,Occasion,21999.0
Peugeot,3008,2017,124051.0,Occasion,11499.0
Fiat,500,2022,10.0,Occasion,18999.0
Hyundai,Tucson,2021,36450.0,Occasion,30999.0
Peugeot,308 SW,2016,111885.0,Occasion,10299.0
Volkswagen,Tiguan,2017,103015.0,Occasion,22799.0
Audi,A3 Sportback,2020,80510.0,Occasion,20799.0
Volkswagen,T-Roc,2022,64161.0,Occasion,23999.0
DS,DS4,2017,80308.0,Occasion,14299.0
Nissan,Juke,2023,24535.0,Occasion,24099.0
Peugeot,508,2018,106063.0,Occasion,16499.0
Skoda,Kamiq,2023,28707.0,Occasion,26299.0
Citroën,C3,2018,43132.0,Occasion,10299.0
Ford,PUMA,2020,82360.0,Occasion,18999.0
Kia,Sportage,2021,21362.0,Occasion,29499.0
Volkswagen,Golf 8,2022,65092.0,Occasion,38999.0
Peugeot,408,2023,6258.0,Occasion,25499.0
Citroën,C5 X,2023,9900.0,Occasion,24399.0
Dacia,JOGGER,2023,43050.0,Occasion,18999.0
Dacia,Sandero,2023,14697.0,Occasion,17699.0
Cupra,Formentor,2021,26579.0,Occasion,31399.0
Peugeot,208,2020,71676.0,Occasion,13799.0
Peugeot,308,2020,116483.0,Occasion,18999.0
Fiat,500X,2018,65100.0,Occasion,13299.0
Toyota,C-HR,2022,19631.0,Occasion,26799.0
Peugeot,2008,2019,78718.0,Occasion,14799.0
Renault,Clio 5,2023,13835.0,Occasion,20999.0
Renault,Captur,2017,69724.0,Occasion,11999.0
Renault,Arkana,2022,42001.0,Occasion,23999.0
Citroën,C5 Aircross,2021,26698.0,Occasion,25499.0
Peugeot,5008,2024,1738.0,Occasion,33499.0
Citroën,C4,2018,90569.0,Occasion,8999.0
Nissan,Qashqai,2018,88170.0,Occasion,16499.0
Dacia,Duster,2020,100523.0,Occasion,16699.0
Opel,Mokka,2021,54742.0,Occasion,18999.0
Renault,Twingo 3,2022,12220.0,Occasion,14499.0
Mercedes,Classe A,2021,59820.0,Occasion,25499.0
Renault,Kadjar,2018,109553.0,Occasion,13999.0
Volkswagen,Polo,2018,55622.0,Occasion,16499.0
Renault,Mégane 4,2016,28544.0,Occasion,13999.0
Citroën,C4 Cactus,2019,58570.0,Occasion,13599.0
Toyota,Corolla,2022,36505.0,Occasion,21499.0
Renault,Zoé,2019,76050.0,Occasion,8799.0
DS,DS7 CROSSBACK,2022,45625.0,Occasion,29699.0
BMW,Série 1,2023,43905.0,Occasion,29999.0
Mini,Mini,2016,92700.0,Occasion,13399.0
Dacia,SPRING,2023,10123.0,Occasion,12999.0
Toyota,RAV 4,2021,85015.0,Occasion,29999.0
DS,DS3 CROSSBACK,2021,62372.0,Occasion,17299.0
Audi,Q2,2020,74299.0,Occasion,21599.0
Ford,Kuga,2022,33895.0,Occasion,28799.0
Citroën,GRAND C4 SPACETOURER,2022,61445.0,Occasion,22499.0
Volkswagen,Golf 8,2023,29945.0,Occasion,35499.0
DS,DS3,2017,40122.0,Occasion,10499.0
Opel,Grandland X,2021,98573.0,Occasion,16999.0
Skoda,Karoq,2023,16730.0,Occasion,30199.0
Citroën,C4 SPACETOURER,2019,71862.0,Occasion,15199.0
Opel,GRANDLAND,2023,19875.0,Occasion,20599.0
Seat,Leon,2022,55150.0,Occasion,22999.0
Skoda,Fabia,2023,10473.0,Occasion,21799.0
Seat,Ateca,2020,93186.0,Occasion,21499.0
BMW,X2,2022,22005.0,Occasion,34199.0
Fiat,Panda,2020,59963.0,Occasion,10299.0
Volkswagen,Passat SW,2023,22900.0,Occasion,31199.0
Mini,Countryman,2018,132050.0,Occasion,17999.0
Skoda,Scala,2023,16318.0,Occasion,20499.0
Renault,Clio 4,2017,81368.0,Occasion,11499.0
Opel,Crossland X,2020,73555.0,Occasion,11999.0
Peugeot,508 SW,2021,35706.0,Occasion,23999.0
Citroën,C4 Picasso,2016,85130.0,Occasion,12799.0
Suzuki,VITARA,2020,20692.0,Occasion,17999.0
BMW,Série 3,2020,21399.0,Occasion,40299.0
Citroën,C3 Aircross,2018,61660.0,Occasion,12799.0
Opel,Corsa,2020,72852.0,Occasion,10499.0
Ford,Focus,2018,64221.0,Occasion,16099.0
Peugeot,3008,2024,6525.0,Occasion,30499.0
Fiat,500,2020,37624.0,Occasion,12299.0
Hyundai,Tucson,2021,31704.0,Occasion,31799.0
Peugeot,308 SW,2020,47625.0,Occasion,15499.0
Volkswagen,Tiguan,2019,104062.0,Occasion,23999.0
Audi,A3 Sportback,2021,72583.0,Occasion,30999.0
Volkswagen,T-Roc,2024,18290.0,Occasion,34899.0
Nissan,Juke,2020,64824.0,Occasion,15499.0
Peugeot,508,2021,44792.0,Occasion,23499.0
Skoda,Kamiq,2023,28640.0,Occasion,22199.0
Citroën,C3,2019,43003.0,Occasion,10999.0
DS,DS4,2017,111998.0,Occasion,14299.0
Ford,PUMA,2020,92151.0,Occasion,14999.0
Volkswagen,Golf 8,2023,20370.0,Occasion,36899.0
Peugeot,408,2024,5038.0,Occasion,25399.0
Citroën,C5 X,2023,3069.0,Occasion,25499.0
Dacia,JOGGER,2023,42620.0,Occasion,19299.0
Dacia,Sandero,2021,22514.0,Occasion,14199.0
Cupra,Formentor,2021,42150.0,Occasion,29999.0
Peugeot,208,2023,18995.0,Occasion,18499.0
Peugeot,308,2023,19728.0,Occasion,19999.0
Fiat,500X,2019,62222.0,Occasion,13999.0
Toyota,C-HR,2019,86666.0,Occasion,18499.0
Peugeot,2008,2018,50760.0,Occasion,10499.0
Renault,Captur,2018,107568.0,Occasion,12499.0
Renault,Arkana,2021,38961.0,Occasion,22999.0
Peugeot,5008,2020,105850.0,Occasion,20999.0
Citroën,C5 Aircross,2024,9783.0,Occasion,27999.0
Citroën,C4,2017,41811.0,Occasion,12999.0
Nissan,Qashqai,2017,90871.0,Occasion,14499.0
Dacia,Duster,2019,138010.0,Occasion,13999.0
Opel,Mokka,2022,24131.0,Occasion,18999.0
Renault,Twingo 3,2021,35268.0,Occasion,12199.0
Mercedes,Classe A,2019,30372.0,Occasion,23099.0
Volkswagen,Polo,2023,17310.0,Occasion,20999.0
Renault,Kadjar,2019,72810.0,Occasion,15999.0
Renault,Mégane 4,2018,130217.0,Occasion,15499.0
Citroën,C4 Cactus,2020,69850.0,Occasion,13299.0
Toyota,Corolla,2022,30045.0,Occasion,22199.0
Renault,Zoé,2019,32085.0,Occasion,9999.0
DS,DS7 CROSSBACK,2021,62720.0,Occasion,25999.0
BMW,Série 1,2020,88200.0,Occasion,21699.0
Dacia,SPRING,2023,6116.0,Occasion,14799.0
Mini,Mini,2021,50544.0,Occasion,19699.0
Toyota,RAV 4,2019,86115.0,Occasion,25999.0
DS,DS3 Crossback,2022,25267.0,Occasion,24899.0
Audi,Q2,2017,104100.0,Occasion,20999.0
Ford,Kuga,2021,63439.0,Occasion,23099.0
Citroën,GRAND C4 SPACETOURER,2020,42110.0,Occasion,20499.0
Skoda,Karoq,2021,119213.0,Occasion,19699.0
Opel,Grandland,2022,22500.0,Occasion,27399.0
Cupra,Leon,2022,48294.0,Occasion,25999.0
Skoda,Fabia,2022,10880.0,Occasion,17999.0
BMW,X2,2023,31150.0,Occasion,34599.0
Fiat,Panda,2020,55551.0,Occasion,10299.0
Mini,Countryman,2023,13829.0,Occasion,30199.0
Skoda,Scala,2023,35111.0,Occasion,21999.0
Renault,Clio 4,2017,61405.0,Occasion,11999.0
DS,DS3,2017,80157.0,Occasion,9699.0
Renault,Scénic 4,2018,79643.0,Occasion,16999.0
Opel,Grandland X,2019,147530.0,Occasion,13999.0
Citroën,C4 SPACETOURER,2018,55529.0,Occasion,18699.0
Peugeot,408,2024,3876.0,Occasion,25399.0
Peugeot,508 SW,2021,63410.0,Occasion,21999.0
Citroën,C4 Picasso,2016,99754.0,Occasion,9799.0
Seat,Ateca,2021,48715.0,Occasion,22299.0
Volkswagen,Passat SW,2020,78534.0,Occasion,22499.0
Citroën,C3 Aircross,2021,26715.0,Occasion,13799.0
Opel,Corsa,2022,23475.0,Occasion,17999.0
Jeep,Compass,2023,37599.0,Occasion,30799.0
Peugeot,3008,2021,65900.0,Occasion,22799.0
Hyundai,Tucson,2021,47716.0,Occasion,30699.0
Peugeot,308 SW,2017,127018.0,Occasion,11499.0
Volkswagen,Tiguan,2020,116694.0,Occasion,22699.0
Audi,A3 Sportback,2024,15778.0,Occasion,33399.0
Volkswagen,T-Roc,2023,30466.0,Occasion,25799.0
Nissan,Juke,2024,12515.0,Occasion,20799.0
Peugeot,508,2022,27490.0,Occasion,26999.0
Skoda,KAMIQ,2023,15730.0,Occasion,22499.0
Citroën,C3,2021,71454.0,Occasion,11999.0
Fiat,500,2019,37140.0,Occasion,11999.0
Ford,PUMA,2022,33605.0,Occasion,19499.0
Volkswagen,Golf 8,2021,38330.0,Occasion,25999.0
Peugeot,408,2023,18260.0,Occasion,25999.0
Citroën,C5 X,2023,6798.0,Occasion,24999.0
Dacia,JOGGER,2022,59350.0,Occasion,16999.0
Volkswagen,Tiguan,2019,51732.0,Occasion,29099.0
Dacia,Sandero,2023,20898.0,Occasion,17699.0
Cupra,Formentor,2022,32216.0,Occasion,30499.0
Peugeot,308,2022,63003.0,Occasion,17999.0
Fiat,500X,2019,68015.0,Occasion,15499.0
Peugeot,208,2018,53257.0,Occasion,9999.0
Toyota,C-HR,2020,44135.0,Occasion,20999.0
Peugeot,2008,2020,84001.0,Occasion,13199.0
Renault,Captur,2020,41003.0,Occasion,16999.0
Renault,Clio 5,2021,40535.0,Occasion,16499.0
Renault,Arkana,2021,29176.0,Occasion,21899.0
Peugeot,5008,2018,104447.0,Occasion,16499.0
Citroën,C5 Aircross,2024,3725.0,Occasion,28999.0
Nissan,Qashqai,2021,61324.0,Occasion,16999.0
Citroën,C4,2024,3213.0,Occasion,24999.0
Dacia,Duster,2020,73285.0,Occasion,14599.0
Opel,Mokka,2022,22898.0,Occasion,16999.0
Renault,Twingo 3,2022,12008.0,Occasion,12499.0
Mercedes,Classe A,2023,4675.0,Occasion,35499.0
Renault,Kadjar,2018,145845.0,Occasion,12199.0
Renault,Mégane 4,2021,68485.0,Occasion,16999.0
Citroën,C4 Cactus,2019,58487.0,Occasion,13499.0
Volkswagen,Polo,2019,67695.0,Occasion,15799.0
Renault,Zoé,2020,40045.0,Occasion,9499.0
DS,DS7 CROSSBACK,2023,41634.0,Occasion,30499.0
BMW,Série 1,2017,76005.0,Occasion,21299.0
Mini,Mini,2016,109716.0,Occasion,12999.0
Toyota,RAV 4,2023,21185.0,Occasion,37999.0
Dacia,SPRING,2021,10805.0,Occasion,11199.0
DS,DS3 CROSSBACK,2019,45552.0,Occasion,17999.0
Audi,Q2,2021,117346.0,Occasion,20599.0
Ford,Kuga,2022,51280.0,Occasion,25499.0
Citroën,GRAND C4 SPACETOURER,2018,87831.0,Occasion,14299.0
Skoda,Karoq,2023,32087.0,Occasion,32199.0
Opel,Grandland,2023,20486.0,Occasion,25999.0
