Marque,Modèle,Année,Kilométrage,Etat,Prix
Citroën,E-BERLINGO,2023,15.0,Occasion,24999.0
Citroën,C-Elysee,2018,5475.0,Occasion,9499.0
Jeep,Avenger,2024,18615.0,Occasion,22999.0
MG,MARVEL R,2022,19217.0,Occasion,30799.0
Volvo,V40,2019,84548.0,Occasion,18499.0
Ford,C-Max,2016,79040.0,Occasion,11299.0
Skoda,Fabia Combi,2022,26359.0,Occasion,18499.0
Ford,KA+,2019,44759.0,Occasion,10999.0
Ford,Mondeo SW,2020,113072.0,Occasion,17299.0
Fiat,500 L,2018,114472.0,Occasion,10999.0
Skoda,Octavia,2021,86286.0,Occasion,18499.0
Renault,Koleos,2018,44831.0,Occasion,22499.0
Volvo,V60,2021,46688.0,Occasion,26599.0
Audi,A3 Berline,2019,84810.0,Occasion,24499.0
Dacia,Dokker,2020,69332.0,Occasion,16199.0
Mini,Mini countryman,2023,28845.0,Occasion,33999.0
Skoda,Scala,2023,26243.0,Occasion,24999.0
Alfa,Romeo Tonale,2023,16706.0,Occasion,31499.0
Mazda,CX-30,2024,9780.0,Occasion,29499.0
Fiat,TIPO Station Wagon,2019,83680.0,Occasion,10999.0
Volkswagen,Golf Sportsvan,2019,60160.0,Occasion,18699.0
Audi,A3 Berline,2023,3585.0,Occasion,33799.0
Seat,Tarraco,2021,32835.0,Occasion,31799.0
Opel,Adam,2015,76285.0,Occasion,10499.0
Mercedes,GLC,2022,59723.0,Occasion,42099.0
Volkswagen,Arteon Shooting Brake,2023,18736.0,Occasion,36499.0
BMW,Série 2 Gran Tourer,2022,94647.0,Occasion,22999.0
BMW,X4,2017,78414.0,Occasion,27999.0
Volkswagen,Golf 8 SW,2021,85890.0,Occasion,19999.0
Renault,Scenic 3,2016,72002.0,Occasion,11999.0
Citroën,C-ZERO,2017,26685.0,Occasion,7299.0
Skoda,ENYAQ,2023,31224.0,Occasion,36999.0
Hyundai,Ioniq 5,2022,19747.0,Occasion,28699.0
Volkswagen,T-Roc Cabriolet,2023,23750.0,Occasion,33899.0
Ford,Mondeo,2018,63584.0,Occasion,16999.0
BMW,Série 5,2019,90949.0,Occasion,24499.0
